name,category,mass_Msun,radius_km,r_s_km,r_over_rs,E_total_J,E_rest_J,E_GR_J,E_SR_J,E_normalized,gamma_gr_max,gamma_sr_max,z_gr_max,success
Sun,main_sequence,1.0,695700.0,2.9532500761002503,235570.97505222715,8.987557387065138e+16,8.987551787368176e+16,37331322186.63028,18665647421.542667,1.0000006230503138,1.0000019295533757,1.0000009647752917,-1.929547821521993e-08,True
Sirius A,main_sequence,2.063,1190342.7,6.092554906994817,195376.6060660982,8.9875585390793e+16,8.987551787368176e+16,45011420737.79262,22505690493.18611,1.000000751229176,1.0000023265172322,1.0000011632565864,-2.3265091297908214e-08,True
Procyon A,main_sequence,1.499,1424793.6,4.426921864074276,321847.4695843637,8.987555885973155e+16,8.987551787368176e+16,27324038077.656616,13662011714.010912,1.000000456031306,1.0000014123038408,1.0000007061511724,-1.4123008540423143e-08,True
Vega,main_sequence,2.135,1643243.4000000001,6.3051889124740335,260617.631416094,8.987556848905691e+16,8.987551787368176e+16,33743590875.491844,16871784267.29537,1.000000563172,1.0000017441131717,1.000000872055445,-1.744108624190943e-08,True
Altair,main_sequence,1.79,1133991.0,5.286317636219448,214514.35158387164,8.98755793672938e+16,8.987551787368176e+16,40995752345.8908,20497859685.498207,1.0000006842087088,1.0000021189579902,1.0000010594773114,-2.1189512811048417e-08,True
Arcturus,main_sequence,1.08,17670780.0,3.1895100821882707,5540280.339191267,8.98755202546525e+16,8.987551787368176e+16,1587313837.6816998,793656896.7691004,1.0000000264918723,1.0000000820437744,1.0000000410218848,-8.204377177634115e-10,True
Aldebaran,main_sequence,1.16,30749940.000000004,3.42577008827629,8976066.463196933,8.987551934328374e+16,8.987551787368176e+16,979734663.270122,489867324.73015577,1.0000000163515272,1.0000000506397198,1.0000000253198589,-5.063971464380757e-10,True
Regulus,main_sequence,3.8,2151104.4,11.222350289180952,191680.38285828583,8.987558669274515e+16,8.987551787368176e+16,45879389357.79917,22939674028.96191,1.0000007657153474,1.0000023713802353,1.0000011856880089,-2.371371843334913e-08,True
Alpha Centauri A,main_sequence,1.1055,851119.38,3.2648179591288264,260694.2839248256,8.987556847417435e+16,8.987551787368176e+16,33733669160.29103,16866823416.649761,1.0000005630064093,1.000001743600345,1.0000008717990323,-1.7435957899714083e-08,True
Alpha Centauri B,main_sequence,0.9373,600528.24,2.768081296328765,216947.4721701509,8.987557867762651e+16,8.987551787368176e+16,40535973918.07825,20267970839.20829,1.0000006765351255,1.0000020951932675,1.0000010475949874,-2.0951866908092143e-08,True
Tau Ceti,main_sequence,0.783,551690.1,2.312394809586496,238579.54433769625,8.987557316450966e+16,8.987551787368176e+16,36860560822.40668,18430267081.952087,1.0000006151934278,1.0000019052209812,1.0000009526091294,-1.9052155519894143e-08,True
Epsilon Eridani,main_sequence,0.82,511339.5,2.421665062402205,211152.0325163256,8.987558034650021e+16,8.987551787368176e+16,41648556978.83246,20824261472.726,1.0000006951038496,1.000002152699725,1.0000010763481246,-2.152692801793421e-08,True
Betelgeuse,main_sequence,16.5,531514800.0,48.72862625565413,10907649.99635767,8.987551908303898e+16,8.987551787368176e+16,806238136.3686047,403119064.5622205,1.0000000134559137,1.0000000416721735,1.000000020836086,-4.1672176820384266e-10,True
Rigel,main_sequence,21.0,54890730.00000001,62.01825159810526,885073.8062676535,8.98755327778048e+16,8.987551787368176e+16,9936082676.345898,4968040370.827639,1.0000001658307334,1.0000005135682488,1.0000002567840254,-5.135678549095246e-09,True
Antares,main_sequence,12.4,473076000.0,36.62030094364311,12918408.30931568,8.987551889480176e+16,8.987551787368176e+16,680746664.8284515,340373330.9374541,1.0000000113614922,1.0000000351858733,1.0000000175929362,-3.518587643469573e-10,True
Spica,main_sequence,11.43,5196879.0,33.755648369825856,153955.83408925083,8.987560355584733e+16,8.987551787368176e+16,57121465056.168465,28560700517.831066,1.0000009533426633,1.0000029524536713,1.0000014762235667,-2.952440625314523e-08,True
Pollux,main_sequence,1.91,6122160.000000001,5.640707645351478,1085353.1834867012,8.987553002755786e+16,8.987551787368176e+16,8102584499.892256,4051291606.7023067,1.000000135230109,1.0000004187998404,1.0000002093998543,-4.187995950033496e-09,True
Fomalhaut,main_sequence,1.92,1281479.4000000001,5.67024014611248,226000.90419073048,8.987557624186157e+16,8.987551787368176e+16,38912129774.76515,19456050032.965454,1.0000006494335854,1.0000020112610941,1.00000100562903,-2.0112550513928795e-08,True
Deneb,main_sequence,19.0,141227100.0,56.11175144590476,2516889.8913474795,8.987552311477165e+16,8.987551787368176e+16,3494060000.122815,1747029881.9196744,1.0000000583149895,1.000000180598118,1.000000090299047,-1.8059806983217186e-09,True
