name,category,mass_Msun,radius_km,r_s_km,r_over_rs,E_total_SSZ_J,E_rest_J,E_SR_SSZ_J,E_GR_J,E_normalized_SSZ,Xi_mean,Xi_max_val,D_SSZ_min,gamma_ssz_max,z_SSZ_max,success
Sun,main_sequence,1.0,695700.0,2.9532500761002503,235570.97505222715,8.98755958531716e+16,8.987551787368176e+16,115310757345.13315,-37331267498.982445,1.0000008676388374,1.0753213446478504e-06,4.995302658361567e-06,0.9999950047222945,1.0000059600827693,4.995302658405976e-06,True
Sirius A,main_sequence,2.063,1190342.7,6.092554906994817,195376.6060660982,8.98756118956856e+16,8.987551787368176e+16,139033345072.98657,-45011341233.43121,1.0000010461358784,1.2965442506299496e-06,6.0229706400960484e-06,0.999993977065636,1.0000071862342326,6.02297064000723e-06,True
Procyon A,main_sequence,1.499,1424793.6,4.426921864074276,321847.4695843637,8.987557494950802e+16,8.987551787368176e+16,84399835044.23994,-27324008779.77276,1.0000006350542128,7.870641496249499e-07,3.656232886584121e-06,0.9999963437804813,1.000004362386641,3.6562328866729388e-06,True
Vega,main_sequence,2.135,1643243.4000000001,6.3051889124740335,260617.631416094,8.987558835896104e+16,8.987551787368176e+16,104228825478.02708,-33743546194.04209,1.0000007842544993,9.719777389827656e-07,4.5152304723572454e-06,0.9999954847899148,1.0000053872898549,4.5152304724016545e-06,True
Altair,main_sequence,1.79,1133991.0,5.286317636219448,214514.35158387164,8.987560350759014e+16,8.987551787368176e+16,126629594791.50063,-40995686394.58806,1.0000009528057296,1.1808741769058883e-06,5.485637434521351e-06,0.9999945143926575,1.000006545120558,5.485637434521351e-06,True
Arcturus,main_sequence,1.08,17670780.0,3.1895100821882707,5540280.339191267,8.987552118934885e+16,8.987551787368176e+16,4902980827.10659,-1587313736.177205,1.0000000368917716,4.572239407805156e-08,2.1239933065686503e-07,0.9999997876007145,1.000000253421224,2.1239933056804716e-07,True
Aldebaran,main_sequence,1.16,30749940.000000004,3.42577008827629,8976066.463196933,8.987551992020466e+16,8.987551787368176e+16,3026257522.090396,-979734622.1452397,1.000000022770638,2.822114659570829e-08,1.3109883933992705e-07,0.9999998689011779,1.0000001564187015,1.3109883933992705e-07,True
Regulus,main_sequence,3.8,2151104.4,11.222350289180952,191680.38285828583,8.9875613708734e+16,8.987551787368176e+16,141714358987.05325,-45879306758.12839,1.0000010663087624,1.3215458056715866e-06,6.139112720493501e-06,0.9999938609249681,1.0000073248080084,6.1391127204046825e-06,True
Alpha Centauri A,main_sequence,1.1055,851119.38,3.2648179591288264,260694.2839248256,8.987558833823611e+16,8.987551787368176e+16,104198178871.02585,-33733624505.5787,1.0000007840239036,9.716919466572272e-07,4.513902853009455e-06,0.9999954861175222,1.0000053857058206,4.513902853053864e-06,True
Alpha Centauri B,main_sequence,0.9373,600528.24,2.768081296328765,216947.4721701509,8.987560254718552e+16,8.987551787368176e+16,125209413194.39131,-40535909437.9011,1.000000942119787,1.1676303980735271e-06,5.424114836483085e-06,0.9999945759145845,1.000006471715506,5.424114836394267e-06,True
